planid,komnr,doklink
1031565,265,https://dokument.plandata.dk/20_1031565_APPROVED_1174467520279.pdf
3808692,259,https://dokument.plandata.dk/20_3808692_1515004183495.pdf
4020671,169,https://dokument.plandata.dk/20_4020671_1532587910795.pdf
3964612,169,https://dokument.plandata.dk/20_3964612_1526540246529.pdf
1218416,230,https://dokument.plandata.dk/20_1218416_APPROVED_1250756969675.pdf
9416098,169,https://dokument.plandata.dk/20_9416098_1536302080208.pdf
1364106,230,https://dokument.plandata.dk/20_1364106_1505303818395.pdf
1037913,219,https://dokument.plandata.dk/20_1037913_1455715465780.pdf
9400142,190,https://dokument.plandata.dk/20_9400142_1531380674379.pdf
1037809,219,https://dokument.plandata.dk/20_1037809_APPROVED_1179137463765.pdf
1205768,230,https://dokument.plandata.dk/20_1205768_APPROVED_1246955790825.pdf
1207291,230,https://dokument.plandata.dk/20_1207291_APPROVED_1247043856207.pdf
2039161,230,https://dokument.plandata.dk/20_2039161_1505734941873.pdf
3407701,230,https://dokument.plandata.dk/20_3407701_1515000043422.pdf
1177549,230,https://dokument.plandata.dk/20_1177549_APPROVED_1243416164977.pdf
1178738,230,https://dokument.plandata.dk/20_1178738_APPROVED_1243431692507.pdf
1206259,230,https://dokument.plandata.dk/20_1206259_APPROVED_1246972206601.pdf
1206262,230,https://dokument.plandata.dk/20_1206262_APPROVED_1246972548467.pdf
1061177,230,https://dokument.plandata.dk/20_1061177_APPROVED_1197538618774.pdf
1218131,230,https://dokument.plandata.dk/20_1218131_APPROVED_1250584928797.pdf
1206228,230,https://dokument.plandata.dk/20_1206228_APPROVED_1246968113994.pdf
1206212,230,https://dokument.plandata.dk/20_1206212_APPROVED_1246965945956.pdf
1218133,230,https://dokument.plandata.dk/20_1218133_APPROVED_1250585229461.pdf
1218201,230,https://dokument.plandata.dk/20_1218201_APPROVED_1250596568249.pdf
1205780,230,https://dokument.plandata.dk/20_1205780_APPROVED_1246958358900.pdf
1217996,230,https://dokument.plandata.dk/20_1217996_1505822561762.pdf
1207980,165,https://dokument.plandata.dk/20_1207980_APPROVED_1248869447775.pdf
1211087,165,https://dokument.plandata.dk/20_1211087_1507633668714.pdf
1178707,230,https://dokument.plandata.dk/20_1178707_APPROVED_1243431534729.pdf
175994,169,https://dokument.plandata.dk/20_175994_1534146650689.pdf
1117421,165,https://dokument.plandata.dk/20_1117421_APPROVED_1323352645662.pdf
1177783,230,https://dokument.plandata.dk/20_1177783_APPROVED_1243422236298.pdf
3008060,165,https://dokument.plandata.dk/20_3008060_1448376787676.pdf
3004677,165,https://dokument.plandata.dk/20_3004677_1509430682961.pdf
3004679,165,https://dokument.plandata.dk/20_3004679_1506414542920.pdf
3004678,165,https://dokument.plandata.dk/20_3004678_1506414300388.pdf
3004697,165,https://dokument.plandata.dk/20_3004697_1506414777732.pdf
2965253,165,https://dokument.plandata.dk/20_2965253_1430808157880.pdf
2250886,165,https://dokument.plandata.dk/20_2250886_1380618330219.pdf
2956341,165,https://dokument.plandata.dk/20_2956341_1427187654707.pdf
2884357,165,https://dokument.plandata.dk/20_2884357_1404802656695.pdf
2402403,165,https://dokument.plandata.dk/20_2402403_1392728272939.pdf
1742749,165,https://dokument.plandata.dk/20_1742749_APPROVED_1366618326707.pdf
2401622,165,https://dokument.plandata.dk/20_2401622_1380019401782.pdf
1606268,165,https://dokument.plandata.dk/20_1606268_APPROVED_1361196677799.pdf
1472291,165,https://dokument.plandata.dk/20_1472291_APPROVED_1361197080156.pdf
1606267,165,https://dokument.plandata.dk/20_1606267_APPROVED_1361197132718.pdf
1606269,165,https://dokument.plandata.dk/20_1606269_APPROVED_1361197029156.pdf
1325688,165,https://dokument.plandata.dk/20_1325688_APPROVED_1352991074713.pdf
1472292,165,https://dokument.plandata.dk/20_1472292_APPROVED_1355828890521.pdf
1472294,165,https://dokument.plandata.dk/20_1472294_APPROVED_1355829001192.pdf
1472296,165,https://dokument.plandata.dk/20_1472296_APPROVED_1355825691588.pdf
1472293,165,https://dokument.plandata.dk/20_1472293_APPROVED_1355828942880.pdf
1472295,165,https://dokument.plandata.dk/20_1472295_APPROVED_1355825788337.pdf
1469811,165,https://dokument.plandata.dk/20_1469811_APPROVED_1349260150796.pdf
1320996,165,https://dokument.plandata.dk/20_1320996_APPROVED_1302677335301.pdf
1323044,165,https://dokument.plandata.dk/20_1323044_APPROVED_1272355698724.pdf
1334623,165,https://dokument.plandata.dk/20_1334623_APPROVED_1276511947892.pdf
1117733,165,https://dokument.plandata.dk/20_1117733_APPROVED_1260790765641.pdf
1151885,165,https://dokument.plandata.dk/20_1151885_APPROVED_1328621014018.pdf
1151890,165,https://dokument.plandata.dk/20_1151890_APPROVED_1328621062815.pdf
1151889,165,https://dokument.plandata.dk/20_1151889_APPROVED_1328620945596.pdf
1063595,165,https://dokument.plandata.dk/20_1063595_APPROVED_1214989201375.pdf
1060658,165,https://dokument.plandata.dk/20_1060658_DRAFT_1196854319426.pdf
1024434,165,https://dokument.plandata.dk/20_1024434_APPROVED_1180693380871.pdf
1032836,165,https://dokument.plandata.dk/20_1032836_APPROVED_1175674237162.pdf
2928949,169,https://dokument.plandata.dk/20_2928949_1411988839217.pdf
1061157,230,https://dokument.plandata.dk/20_1061157_APPROVED_1197532882155.pdf
1029491,165,https://dokument.plandata.dk/20_1029491_DRAFT_1173092052210.pdf
1028655,165,https://dokument.plandata.dk/20_1028655_DRAFT_1172240571600.pdf
9400372,217,https://dokument.plandata.dk/20_9400372_1534316492225.pdf
1028010,165,https://dokument.plandata.dk/20_1028010_1510843727474.pdf
1212957,165,https://dokument.plandata.dk/20_1212957_DRAFT_1248864828753.pdf
1208010,165,https://dokument.plandata.dk/20_1208010_DRAFT_1248935381877.pdf
1207955,165,https://dokument.plandata.dk/20_1207955_APPROVED_1248856756272.pdf
1208064,165,https://dokument.plandata.dk/20_1208064_APPROVED_1248946322941.pdf
1102525,165,https://dokument.plandata.dk/20_1102525_DRAFT_1219906948903.pdf
1207992,165,https://dokument.plandata.dk/20_1207992_1506431018241.pdf
1208005,165,https://dokument.plandata.dk/20_1208005_APPROVED_1248871242416.pdf
1208029,165,https://dokument.plandata.dk/20_1208029_APPROVED_1248941559156.pdf
1102100,165,https://dokument.plandata.dk/20_1102100_DRAFT_1219655179710.pdf
1208050,165,https://dokument.plandata.dk/20_1208050_1506431262023.pdf
1208049,165,https://dokument.plandata.dk/20_1208049_APPROVED_1248943421687.pdf
1110660,165,https://dokument.plandata.dk/20_1110660_DRAFT_1224843247941.pdf
1110657,165,https://dokument.plandata.dk/20_1110657_DRAFT_1224775869573.pdf
1110740,165,https://dokument.plandata.dk/20_1110740_DRAFT_1224849473032.pdf
1110739,165,https://dokument.plandata.dk/20_1110739_DRAFT_1224848378841.pdf
1207981,165,https://dokument.plandata.dk/20_1207981_APPROVED_1248869669644.pdf
1207963,165,https://dokument.plandata.dk/20_1207963_APPROVED_1248866992010.pdf
1208059,165,https://dokument.plandata.dk/20_1208059_APPROVED_1248945291826.pdf
1207936,165,https://dokument.plandata.dk/20_1207936_APPROVED_1248852648986.pdf
1112633,165,https://dokument.plandata.dk/20_1112633_DRAFT_1225457900675.pdf
1112186,165,https://dokument.plandata.dk/20_1112186_APPROVED_1225452289193.pdf
1208083,165,https://dokument.plandata.dk/20_1208083_APPROVED_1253521594212.pdf
1208098,165,https://dokument.plandata.dk/20_1208098_APPROVED_1248954258409.pdf
1207929,165,https://dokument.plandata.dk/20_1207929_DRAFT_1248850447996.pdf
1208097,165,https://dokument.plandata.dk/20_1208097_APPROVED_1248953624441.pdf
1208078,165,https://dokument.plandata.dk/20_1208078_APPROVED_1248949515203.pdf
1208075,165,https://dokument.plandata.dk/20_1208075_APPROVED_1248948796877.pdf
1208074,165,https://dokument.plandata.dk/20_1208074_APPROVED_1253521774254.pdf
1207953,165,https://dokument.plandata.dk/20_1207953_APPROVED_1248856107601.pdf
1208094,165,https://dokument.plandata.dk/20_1208094_APPROVED_1248953497757.pdf
175981,169,https://dokument.plandata.dk/20_175981_1530613351931.pdf
1102631,165,https://dokument.plandata.dk/20_1102631_DRAFT_1219938977500.pdf
1207951,165,https://dokument.plandata.dk/20_1207951_APPROVED_1248855665378.pdf
1208093,165,https://dokument.plandata.dk/20_1208093_APPROVED_1248953365417.pdf
1208016,165,https://dokument.plandata.dk/20_1208016_APPROVED_1248939409602.pdf
1208025,165,https://dokument.plandata.dk/20_1208025_APPROVED_1248940687085.pdf
1208020,165,https://dokument.plandata.dk/20_1208020_DRAFT_1248939688439.pdf
1207975,165,https://dokument.plandata.dk/20_1207975_APPROVED_1248868570016.pdf
1207949,165,https://dokument.plandata.dk/20_1207949_APPROVED_1248854256211.pdf
1207989,165,https://dokument.plandata.dk/20_1207989_APPROVED_1248870293535.pdf
1208054,165,https://dokument.plandata.dk/20_1208054_APPROVED_1248944662468.pdf
1207950,165,https://dokument.plandata.dk/20_1207950_APPROVED_1248855076612.pdf
1207913,165,https://dokument.plandata.dk/20_1207913_APPROVED_1248784672473.pdf
1208082,165,https://dokument.plandata.dk/20_1208082_APPROVED_1248950408524.pdf
1207984,165,https://dokument.plandata.dk/20_1207984_APPROVED_1248870062619.pdf
1207959,165,https://dokument.plandata.dk/20_1207959_APPROVED_1248864459778.pdf
1208087,165,https://dokument.plandata.dk/20_1208087_APPROVED_1248952977677.pdf
1112625,165,https://dokument.plandata.dk/20_1112625_DRAFT_1225454876940.pdf
